"Draft Planner Cheat Sheet",VBD2,Value Based Drafting from Draft Planner,08/06/2019,710
Rank,ID,"Last Name","First Name",Position,Team,Points,VBD,"Bye Week"
1,13132,Kamara,Alvin,RB,NOS,338.9,120.6,9
2,13604,Barkley,Saquon,RB,NYG,337.5,119.2,11
3,12625,Elliott,Ezekiel,RB,DAL,331.1,112.8,8
4,11675,Adams,Davante,WR,GBP,311.1,112.3,11
5,13130,McCaffrey,Christian,RB,CAR,327.2,108.9,7
6,11232,Hopkins,DeAndre,WR,HOU,299.7,101.0,10
7,10271,Jones,Julio,WR,ATL,293.2,94.4,9
8,13116,Mahomes,Patrick,QB,KCC,402.3,89.4,12
9,11679,Beckham,Odell,WR,CLE,288.0,89.3,7
10,9988,Brown,Antonio,WR,OAK,287.6,88.9,6
11,12652,Thomas,Michael,WR,NOS,285.6,86.9,9
12,13156,Smith-Schuster,JuJu,WR,PIT,285.5,86.8,7
13,12801,Hill,Tyreek,WR,KCC,282.7,84.0,12
14,13146,Conner,James,RB,PIT,294.2,75.9,7
15,10868,Zuerlein,Greg,K,LAR,198.4,66.8,9
16,12186,Diggs,Stefon,WR,MIN,258.8,60.1,12
17,11247,Ertz,Zach,TE,PHI,221.3,59.3,10
18,11671,Evans,Mike,WR,TBB,254.6,55.9,7
19,12151,Gordon,Melvin,RB,LAC,274.0,55.7,12
20,11192,Bell,Le'Veon,RB,NYJ,270.9,52.6,4
21,12171,Johnson,David,RB,ARZ,270.1,51.8,12
22,12150,Gurley,Todd,RB,LAR,268.8,50.5,9
23,11244,Kelce,Travis,TE,KCC,211.8,49.8,12
24,11938,Thielen,Adam,WR,MIN,247.8,49.1,12
25,13128,Cook,Dalvin,RB,MIN,267.0,48.7,12
26,11886,Williams,Damien,RB,KCC,266.2,47.9,12
27,13113,Watson,Deshaun,QB,HOU,359.8,46.9,10
28,521,Bears,Chicago,D,CHI,32.6,45.6,6
29,10976,Tucker,Justin,K,BAL,175.4,43.8,8
30,13129,Fournette,Leonard,RB,JAC,261.4,43.1,10
31,10729,Hilton,T.Y.,WR,IND,238.9,40.2,6
32,11674,Cooks,Brandin,WR,LAR,238.4,39.6,9
33,12175,Cooper,Amari,WR,DAL,237.6,38.8,8
34,11222,Allen,Keenan,WR,LAC,235.0,36.3,12
35,11228,Woods,Robert,WR,LAR,233.4,34.6,9
36,8153,Gould,Robbie,K,SFO,165.7,34.1,4
37,13610,Chubb,Nick,RB,CLE,251.1,32.8,7
38,7836,Rodgers,Aaron,QB,GBP,345.4,32.6,11
39,10703,Wilson,Russell,QB,SEA,343.5,30.6,11
40,512,Chiefs,Kansas City,D,KCC,17.1,30.2,12
41,12956,Lutz,Wil,K,NOS,161.6,30.0,9
42,13354,Butker,Harrison,K,KCC,161.6,30.0,12
43,12187,Lockett,Tyler,WR,SEA,226.8,28.1,11
44,13629,Ridley,Calvin,WR,ATL,226.5,27.8,9
45,9662,Edelman,Julian,WR,NEP,226.5,27.7,10
46,13153,Davis,Corey,WR,TEN,224.4,25.7,11
47,10695,Luck,Andrew,QB,IND,337.9,25.0,6
48,13131,Mixon,Joe,RB,CIN,242.9,24.6,9
49,13163,Godwin,Chris,WR,TBB,222.8,24.1,7
50,504,Patriots,New England,D,NEP,10.9,24.0,10
51,13319,Jones,Aaron,RB,GBP,241.5,23.2,11
52,13277,Golladay,Kenny,WR,DET,221.7,23.0,5
53,9099,Ryan,Matt,QB,ATL,335.5,22.6,9
54,13154,Williams,Mike,WR,LAC,220.0,21.2,12
55,514,Chargers,Los Angeles,D,LAC,7.0,20.1,12
56,8359,Gostkowski,Stephen,K,NEP,151.3,19.7,10
57,511,Broncos,Denver,D,DEN,5.9,18.9,10
58,13164,Kupp,Cooper,WR,LAR,217.2,18.5,9
59,11680,Landry,Jarvis,WR,CLE,217.0,18.3,7
60,13234,Mack,Marlon,RB,IND,236.0,17.7,6
61,12860,Fairbairn,Ka'imi,K,HOU,148.1,16.5,10
62,13612,Johnson,Kerryon,RB,DET,234.0,15.7,5
63,12930,Anderson,Robby,WR,NYJ,214.2,15.5,4
64,12610,Wentz,Carson,QB,PHI,328.1,15.3,10
65,10722,Jeffery,Alshon,WR,PHI,213.8,15.1,10
66,11678,Robinson,Allen,WR,CHI,213.8,15.1,6
67,10261,Green,A.J.,WR,CIN,213.6,14.9,9
68,12658,Shepard,Sterling,WR,NYG,212.9,14.2,11
69,13635,Moore,D.J.,WR,CAR,212.6,13.9,7
70,7393,Fitzgerald,Larry,WR,ARZ,212.4,13.7,12
71,531,Ravens,Baltimore,D,BAL,-1.9,11.2,8
72,10738,Jones,Marvin,WR,DET,209.4,10.7,5
73,13590,Mayfield,Baker,QB,CLE,322.6,9.7,7
74,13630,Sutton,Courtland,WR,DEN,207.9,9.2,10
75,12626,Henry,Derrick,RB,TEN,227.0,8.7,11
76,502,Colts,Indianapolis,D,IND,-5.0,8.1,6
77,14073,Jacobs,Josh,RB,OAK,226.3,8.0,6
78,532,Texans,Houston,D,HOU,-5.6,7.5,10
79,10276,Ingram,Mark,RB,BAL,225.7,7.4,8
80,509,Jaguars,Jacksonville,D,JAC,-6.1,6.9,10
81,12437,Myers,Jason,K,SEA,138.4,6.8,11
82,529,Saints,New Orleans,D,NOS,-6.7,6.3,9
83,10273,Newton,Cam,QB,CAR,318.7,5.9,7
84,524,Vikings,Minnesota,D,MIN,-7.7,5.4,12
85,7401,Roethlisberger,Ben,QB,PIT,317.6,4.7,7
86,11747,White,James,RB,NEP,222.7,4.4,10
87,13607,Michel,Sony,RB,NEP,222.4,4.1,10
88,8930,Prater,Matt,K,DET,135.0,3.4,5
89,9319,Hauschka,Steven,K,BUF,134.4,2.8,6
90,13188,Howard,O.J.,TE,TBB,164.6,2.6,7
91,12650,Boyd,Tyler,WR,CIN,200.8,2.1,9
92,12620,Prescott,Dak,QB,DAL,314.8,1.9,8
93,11660,Freeman,Devonta,RB,ATL,218.8,0.5,9
94,13303,Elliott,Jake,K,PHI,131.9,0.3,10
95,12140,Winston,Jameis,QB,TBB,312.9,0.0,7
96,13614,Lindsay,Phillip,RB,DEN,218.3,0.0,10
97,12647,Fuller,Will,WR,HOU,198.7,0.0,10
98,13299,Kittle,George,TE,SFO,162.0,0.0,4
99,9686,Succop,Ryan,K,TEN,131.6,0.0,11
100,528,Rams,Los Angeles,D,LAR,-13.1,0.0,9
101,508,Titans,Tennessee,D,TEN,-13.7,-0.7,11
102,11339,Tavecchio,Giorgio,K,ATL,130.7,-0.9,9
103,13634,Pettis,Dante,WR,SFO,197.8,-0.9,4
104,13290,Cohen,Tarik,RB,CHI,217.4,-0.9,6
105,5848,Brady,Tom,QB,NEP,311.9,-1.0,10
106,507,Browns,Cleveland,D,CLE,-14.1,-1.0,7
107,515,Seahawks,Seattle,D,SEA,-14.1,-1.0,11
108,9918,Sanders,Emmanuel,WR,DEN,197.2,-1.5,10
109,14071,Montgomery,David,RB,CHI,216.3,-2.0,6
110,13241,Rosas,Aldrick,K,NYG,127.9,-3.7,11
111,510,Steelers,Pittsburgh,D,PIT,-16.9,-3.9,7
112,13909,Maher,Brett,K,DAL,127.2,-4.4,8
113,522,Lions,Detroit,D,DET,-18.2,-5.2,5
114,12417,Lambo,Josh,K,JAC,126.4,-5.2,10
115,4925,Brees,Drew,QB,NOS,307.5,-5.3,9
116,13605,Guice,Derrius,RB,WAS,212.7,-5.6,10
117,13364,Carson,Chris,RB,SEA,212.6,-5.7,11
