Rank,ID,Name,Team,Opp,Att,Yards,TDs,Tgt,Rec,Yards,TDs,Fantasy Points
1,13604,"Barkley, Saquon",NYG,DAL,17.92,88,0.67,8,5.73,42,0.22,24
2,12625,"Elliott, Ezekiel",DAL,NYG,21.07,93,0.57,6,4.2,33,0.15,21
3,13130,"McCaffrey, Christian",CAR,LAR,11.3,52,0.34,8,6.33,52,0.39,20
4,13132,"Kamara, Alvin",NOS,HOU,11.31,51,0.63,7,4.98,47,0.22,20
5,11192,"Bell, Le'Veon",NYJ,BUF,15.67,74,0.52,5,3.69,32,0.09,19
6,13129,"Fournette, Leonard",JAC,KCC,19.24,70,0.64,4,3.46,29,0.13,18
7,12150,"Gurley, Todd",LAR,CAR,12.28,63,0.73,4,2.64,25,0.12,17
8,13234,"Mack, Marlon",IND,LAC,17.9,81,0.66,3,2.17,14,0.1,17
9,13146,"Conner, James",PIT,NEP,13.7,64,0.57,4,3.46,30,0.1,16
10,11886,"Williams, Damien",KCC,JAC,10.87,52,0.64,4,3,16,0.25,16
11,13128,"Cook, Dalvin",MIN,ATL,13.55,63,0.41,5,3.62,29,0.18,16
12,13612,"Johnson, Kerryon",DET,ARI,13.3,66,0.54,4,3.3,25,0.14,16
13,12151,"Gordon, Melvin",LAC,IND,13.38,58,0.63,4,2.76,25,0.17,16
14,11660,"Freeman, Devonta",ATL,MIN,13.81,66,0.42,4,2.67,21,0.16,16
15,13131,"Mixon, Joe",CIN,SEA,15.71,71,0.49,4,2.8,22,0.03,15
16,11747,"White, James",NEP,PIT,5.04,22,0.3,7,4.68,39,0.27,15
17,10276,"Ingram, Mark",BAL,MIA,14.59,73,0.71,3,2.28,15,0.06,15
18,12171,"Johnson, David",ARI,DET,15.89,58,0.35,5,3.33,29,0.14,15
19,13610,"Chubb, Nick",CLE,TEN,14.19,68,0.54,3,2.31,19,0.12,15
20,14073,"Jacobs, Josh",OAK,DEN,13.97,65,0.47,4,3.13,26,0,15
21,13614,"Lindsay, Phillip",DEN,OAK,12.36,60,0.45,4,2.69,19,0.05,14
22,13607,"Michel, Sony",NEP,PIT,14.64,67,0.73,2,1.36,11,0.09,14
23,13290,"Cohen, Tarik",CHI,GBP,7.06,30,0.2,6,4.72,40,0.23,14
24,14071,"Montgomery, David",CHI,GBP,11.55,50,0.53,4,2.7,24,0.18,14
25,12634,"Howard, Jordan",PHI,WAS,12.25,49,0.51,2,1.8,18,0.11,13
26,13364,"Carson, Chris",SEA,CIN,14.45,63,0.47,2,1.81,13,0.05,13
27,12626,"Henry, Derrick",TEN,CLE,13.61,65,0.69,2,1.17,11,0.04,13
28,13608,"Penny, Rashaad",SEA,CIN,10.95,59,0.29,3,2.07,18,0.02,12
29,12630,"Drake, Kenyan",MIA,BAL,8.77,41,0.22,4,2.89,25,0.22,12
30,12637,"Barber, Peyton",TBB,SFO,16.93,63,0.43,2,1.66,9,0.03,12
31,13319,"Jones, Aaron",GBP,CHI,11.02,54,0.5,3,2.34,18,0.07,12
32,13605,"Guice, Derrius",WAS,PHI,9.45,43,0.36,3,2.62,21,0.16,12
33,13622,"Hines, Nyheim",IND,LAC,7.86,31,0.19,6,4.63,33,0.02,12
34,9448,"McCoy, LeSean",BUF,NYJ,13.52,46,0.31,4,2.94,22,0.06,12
35,10708,"Miller, Lamar",HOU,NOS,13.24,55,0.26,3,2.25,17,0.12,12
36,13768,"Smith, Ito",ATL,MIN,11.18,40,0.26,4,2.67,16,0.06,11
37,12152,"Coleman, Tevin",SFO,TBB,10.42,48,0.26,3,2.07,16,0.17,11
38,13404,"Ekeler, Austin",LAC,IND,5.89,29,0.18,3,2.55,22,0.13,10
