Rank,Pos,ID,Name,Team,Opp,Comp,Yards,TD,Int,Att,Yards,TD,Rec,Yards,TD,Fantasy Points
1,QB,13116,"Mahomes, Patrick",KCC,JAC,21.69,284,2.36,0.55,3.65,16,0.14,0,0,0,25
2,QB,13113,"Watson, Deshaun",HOU,NOS,21.31,253,1.75,0.68,5.94,36,0.28,0,0,0,24
3,RB,13604,"Barkley, Saquon",NYG,DAL,0,0,0,0,17.92,88,0.67,5.73,42,0.22,24
4,QB,10703,"Wilson, Russell",SEA,CIN,18.11,217,2.02,0.47,4.83,28,0.13,0,0,0,22
5,QB,7836,"Rodgers, Aaron",GBP,CHI,22.92,261,1.66,0.41,3.53,21,0.1,0,0,0,22
6,RB,12625,"Elliott, Ezekiel",DAL,NYG,0,0,0,0,21.07,93,0.57,4.2,33,0.15,21
7,QB,12140,"Winston, Jameis",TBB,SFO,21.78,270,1.63,1.08,4.02,21,0.08,0,0,0,20
8,QB,13590,"Mayfield, Baker",CLE,TEN,21.44,256,1.74,1.26,3.92,17,0.06,0,0,0,20
9,QB,13589,"Allen, Josh",BUF,NYJ,17.99,212,1.06,0.72,6.32,38,0.61,0,0,0,20
10,RB,13132,"Kamara, Alvin",NOS,HOU,0,0,0,0,11.31,51,0.63,4.98,47,0.22,20
11,QB,12620,"Prescott, Dak",DAL,NYG,21.24,236,1.41,0.52,4.17,19,0.47,0,0,0,20
12,RB,13130,"McCaffrey, Christian",CAR,LAR,0,0,0,0,11.3,52,0.34,6.33,52,0.39,20
13,WR,11232,"Hopkins, DeAndre",HOU,NOS,0,0,0,0,0.03,0,0,6.66,91,0.67,20
14,QB,12610,"Wentz, Carson",PHI,WAS,20.91,235,1.92,0.68,3.32,11,0.04,0,0,0,20
15,QB,4925,"Brees, Drew",NOS,HOU,22.08,264,1.81,0.61,2.21,1,0.15,0,0,0,20
16,QB,10273,"Newton, Cam",CAR,LAR,19.08,210,1.35,1.4,7.73,40,0.29,0,0,0,20
17,QB,10700,"Cousins, Kirk",MIN,ATL,24.45,255,1.82,0.67,2.8,7,0.12,0,0,0,20
18,QB,11760,"Garoppolo, Jimmy",SFO,TBB,22.06,280,1.38,1.42,2.88,6,0.12,0,0,0,19
19,RB,11192,"Bell, Le'Veon",NYJ,BUF,0,0,0,0,15.67,74,0.52,3.69,32,0.09,19
20,QB,7401,"Roethlisberger, Ben",PIT,NEP,22.33,258,1.8,0.81,1.74,5,0.07,0,0,0,19
21,QB,10695,"Luck, Andrew",IND,LAC,23.02,252,1.87,0.8,3.54,13,0.05,0,0,0,19
22,QB,7394,"Rivers, Philip",LAC,IND,21.3,264,1.78,0.94,1.23,1,0,0,0,0,19
23,QB,12611,"Goff, Jared",LAR,CAR,20.39,253,1.56,0.66,2.51,6,0.11,0,0,0,19
24,RB,13129,"Fournette, Leonard",JAC,KCC,0,0,0,0,19.24,70,0.64,3.46,29,0.13,18
25,QB,10313,"Dalton, Andy",CIN,SEA,20.65,227,1.75,0.97,2.72,11,0,0,0,0,18
26,QB,9099,"Ryan, Matt",ATL,MIN,19.22,227,1.59,0.56,2.27,8,0.14,0,0,0,18
27,WR,11675,"Adams, Davante",GBP,CHI,0,0,0,0,0.01,0,0,6.35,78,0.68,18
28,QB,13593,"Jackson, Lamar",BAL,MIA,17.09,188,1.03,0.5,9.89,46,0.27,0,0,0,18
29,WR,11679,"Beckham, Odell",CLE,TEN,0,0,0,0,0.37,2,0.04,5.6,76,0.63,18
